UzeRom parser: Succesfully loaded program from mode13demo.uze:
	Name .......: Video Mode 13 Demo
	Author .....: Alec Bourque (Uze)
	Year .......: 2015
	Description : A simple demo that demonstrates mode 13
Starting emulator
012C: Op: 41 => 41, Flags: 00 => 00
012D: Op: 10 => 10, Flags: 1E => 1C
012E: Op: 47 => 47, Flags: 00 => 00
012F: Op: 47 => 47, Flags: 00 => 00
0130: Op: 47 => 47, Flags: 00 => 00
0131: Op: 47 => 47, Flags: 00 => 00
0132: Op: 47 => 47, Flags: 00 => 00
0133: Op: 06 => 06, Flags: 03 => 00
0134: Op: 47 => 47, Flags: 00 => 00
0135: Op: 40 => 40, Flags: 00 => 00
0136: Op: 00 => 00, Flags: 00 => 00
0137: Op: 45 => 45, Flags: 00 => 00
0138: Op: 16 => 5A, Flags: 1E => 00
0139: Op: 39 => 39, Flags: 00 => 00
013A: Op: 39 => 39, Flags: 00 => 00
013B: Op: 46 => 46, Flags: 00 => 00
013C: Op: 45 => 45, Flags: 00 => 00
013D: Op: 41 => 41, Flags: 00 => 00
013E: Op: 21 => 21, Flags: 00 => 00
013F: Op: 41 => 41, Flags: 00 => 00
0140: Op: 38 => 38, Flags: 00 => 00
0141: Op: 14 => 14, Flags: 3F => 21
0142: Op: 39 => 39, Flags: 00 => 00
0143: Op: 15 => 15, Flags: 1E => 02
0144: Op: 21 => 21, Flags: 00 => 00
0145: Op: 47 => 47, Flags: 00 => 00
0146: Op: 47 => 47, Flags: 00 => 00
0147: Op: 47 => 47, Flags: 00 => 00
0148: Op: 47 => 47, Flags: 00 => 00
0149: Op: 42 => 42, Flags: 00 => 00
014A: Op: 47 => 47, Flags: 00 => 00
014B: Op: 47 => 47, Flags: 00 => 00
014C: Op: 7F => 7F, Flags: 00 => 00
014D: Op: 07 => 07, Flags: 3D => 3D
014E: Op: 48 => 48, Flags: 00 => 00
014F: Op: 41 => 41, Flags: 00 => 00
0150: Op: 0F => 0F, Flags: 1E => 1E
0151: Op: 41 => 41, Flags: 00 => 00
0152: Op: 41 => 41, Flags: 00 => 00
0153: Op: 16 => 5A, Flags: 1E => 00
0154: Op: 47 => 47, Flags: 00 => 00
0155: Op: 15 => 59, Flags: 1E => 00
0156: Op: 47 => 47, Flags: 00 => 00
0157: Op: 45 => 45, Flags: 00 => 00
0158: Op: 48 => 48, Flags: 00 => 00
0159: Op: 0A => 0A, Flags: 00 => 00
015A: Op: 0E => 0E, Flags: 1E => 1E
015B: Op: 47 => 47, Flags: 00 => 00
015C: Op: 47 => 47, Flags: 00 => 00
015D: Op: 47 => 47, Flags: 00 => 00
015E: Op: 47 => 47, Flags: 00 => 00
015F: Op: 47 => 47, Flags: 00 => 00
0160: Op: 09 => 09, Flags: 3F => 3F
0161: Op: 47 => 47, Flags: 00 => 00
0162: Op: 40 => 40, Flags: 00 => 00
0163: Op: 00 => 00, Flags: 00 => 00
0164: Op: 43 => 43, Flags: 00 => 00
0165: Op: 47 => 47, Flags: 00 => 00
0166: Op: 1D => 1D, Flags: 00 => 00
0167: Op: 41 => 41, Flags: 00 => 00
0168: Op: 16 => 16, Flags: 1E => 1E
0169: Op: 45 => 45, Flags: 00 => 00
016A: Op: 47 => 47, Flags: 00 => 00
016B: Op: 41 => 41, Flags: 00 => 00
016C: Op: 47 => 47, Flags: 00 => 00
016D: Op: 39 => 39, Flags: 00 => 00
016E: Op: 47 => 47, Flags: 00 => 00
016F: Op: 15 => 59, Flags: 1E => 00
0170: Op: 1D => 1D, Flags: 00 => 00
0171: Op: 14 => 14, Flags: 3F => 03
0172: Op: 47 => 47, Flags: 00 => 00
0173: Op: 47 => 47, Flags: 00 => 00
0174: Op: 47 => 47, Flags: 00 => 00
0175: Op: 47 => 47, Flags: 00 => 00
0176: Op: 7F => 7F, Flags: 00 => 00
0177: Op: 47 => 47, Flags: 00 => 00
0178: Op: 47 => 47, Flags: 00 => 00
0179: Op: 7F => 7F, Flags: 00 => 00
017A: Op: 07 => 07, Flags: 3D => 3D
017B: Op: 41 => 41, Flags: 00 => 00
017C: Op: 37 => 37, Flags: 03 => 00
017D: Op: 12 => 12, Flags: 3F => 00
017E: Op: 41 => 41, Flags: 00 => 00
017F: Op: 15 => 59, Flags: 1E => 00
0180: Op: 14 => 14, Flags: 3F => 03
0181: Op: 43 => 43, Flags: 00 => 00
0182: Op: 12 => 12, Flags: 3F => 03
0183: Op: 48 => 48, Flags: 00 => 00
0184: Op: 45 => 45, Flags: 00 => 00
0185: Op: 41 => 41, Flags: 00 => 00
0186: Op: 21 => 21, Flags: 00 => 00
0187: Op: 13 => 57, Flags: 3D => 00
0188: Op: 47 => 47, Flags: 00 => 00
0189: Op: 47 => 47, Flags: 00 => 00
018A: Op: 47 => 47, Flags: 00 => 00
018B: Op: 47 => 47, Flags: 00 => 00
018C: Op: 44 => 44, Flags: 00 => 00
018D: Op: 41 => 41, Flags: 00 => 00
018E: Op: 47 => 47, Flags: 00 => 00
018F: Op: 40 => 40, Flags: 00 => 00
0190: Op: 00 => 00, Flags: 00 => 00
0191: Op: 48 => 48, Flags: 00 => 00
0192: Op: 47 => 47, Flags: 00 => 00
0193: Op: 1D => 1D, Flags: 00 => 00
0194: Op: 41 => 41, Flags: 00 => 00
0195: Op: 48 => 48, Flags: 00 => 00
0196: Op: 39 => 39, Flags: 00 => 00
0197: Op: 47 => 47, Flags: 00 => 00
0198: Op: 1D => 1D, Flags: 00 => 00
0199: Op: 47 => 47, Flags: 00 => 00
019A: Op: 16 => 5A, Flags: 1E => 00
019B: Op: 16 => 5A, Flags: 1E => 00
019C: Op: 13 => 57, Flags: 3D => 00
019D: Op: 21 => 21, Flags: 00 => 00
019E: Op: 3B => 3B, Flags: 1F => 03
019F: Op: 47 => 47, Flags: 00 => 00
01A0: Op: 47 => 47, Flags: 00 => 00
01A1: Op: 47 => 47, Flags: 00 => 00
01A2: Op: 47 => 47, Flags: 00 => 00
01A3: Op: 01 => 01, Flags: 00 => 00
01A4: Op: 47 => 47, Flags: 00 => 00
01A5: Op: 47 => 47, Flags: 00 => 00
01A6: Op: 7F => 7F, Flags: 00 => 00
01A7: Op: 07 => 07, Flags: 3D => 01
01A8: Op: 39 => 39, Flags: 00 => 00
01A9: Op: 21 => 21, Flags: 00 => 00
01AA: Op: 21 => 21, Flags: 00 => 00
01AB: Op: 41 => 41, Flags: 00 => 00
01AC: Op: 15 => 59, Flags: 1E => 00
01AD: Op: 39 => 39, Flags: 00 => 00
01AE: Op: 47 => 47, Flags: 00 => 00
01AF: Op: 47 => 47, Flags: 00 => 00
01B0: Op: 39 => 39, Flags: 00 => 00
01B1: Op: 39 => 39, Flags: 00 => 00
01B2: Op: 14 => 14, Flags: 3F => 21
01B3: Op: 21 => 21, Flags: 00 => 00
01B4: Op: 41 => 41, Flags: 00 => 00
01B5: Op: 47 => 47, Flags: 00 => 00
01B6: Op: 47 => 47, Flags: 00 => 00
01B7: Op: 47 => 47, Flags: 00 => 00
01B8: Op: 47 => 47, Flags: 00 => 00
01B9: Op: 21 => 21, Flags: 00 => 00
01BA: Op: 47 => 47, Flags: 00 => 00
01BB: Op: 47 => 47, Flags: 00 => 00
01BC: Op: 40 => 40, Flags: 00 => 00
01BD: Op: 00 => 00, Flags: 00 => 00
01BE: Op: 47 => 47, Flags: 00 => 00
01BF: Op: 47 => 47, Flags: 00 => 00
01C0: Op: 13 => 13, Flags: 3D => 3D
01C1: Op: 41 => 41, Flags: 00 => 00
01C2: Op: 47 => 47, Flags: 00 => 00
01C3: Op: 45 => 45, Flags: 00 => 00
01C4: Op: 47 => 47, Flags: 00 => 00
01C5: Op: 37 => 37, Flags: 03 => 00
01C6: Op: 47 => 47, Flags: 00 => 00
01C7: Op: 16 => 5A, Flags: 1E => 00
01C8: Op: 14 => 14, Flags: 3F => 01
01C9: Op: 10 => 56, Flags: 1E => 00
01CA: Op: 0F => 0F, Flags: 1E => 02
01CB: Op: 13 => 13, Flags: 3D => 01
01CC: Op: 47 => 47, Flags: 00 => 00
01CD: Op: 47 => 47, Flags: 00 => 00
01CE: Op: 47 => 47, Flags: 00 => 00
01CF: Op: 43 => 43, Flags: 00 => 00
01D0: Op: 43 => 43, Flags: 00 => 00
01D1: Op: 47 => 47, Flags: 00 => 00
01D2: Op: 47 => 47, Flags: 00 => 00
01D3: Op: 7F => 7F, Flags: 00 => 00
01D4: Op: 07 => 07, Flags: 3D => 20
01D5: Op: 16 => 5A, Flags: 1E => 00
01D6: Op: 48 => 48, Flags: 00 => 00
01D7: Op: 16 => 5A, Flags: 1E => 00
01D8: Op: 48 => 48, Flags: 00 => 00
01D9: Op: 38 => 38, Flags: 00 => 00
01DA: Op: 41 => 41, Flags: 00 => 00
01DB: Op: 47 => 47, Flags: 00 => 00
01DC: Op: 47 => 47, Flags: 00 => 00
01DD: Op: 45 => 45, Flags: 00 => 00
01DE: Op: 16 => 5A, Flags: 1E => 00
01DF: Op: 15 => 59, Flags: 1E => 00
01E0: Op: 13 => 57, Flags: 3D => 00
01E1: Op: 14 => 14, Flags: 3F => 3F
01E2: Op: 47 => 47, Flags: 00 => 00
01E3: Op: 47 => 47, Flags: 00 => 00
01E4: Op: 47 => 47, Flags: 00 => 00
01E5: Op: 47 => 47, Flags: 00 => 00
01E6: Op: 05 => 05, Flags: 03 => 03
01E7: Op: 47 => 47, Flags: 00 => 00
01E8: Op: 47 => 47, Flags: 00 => 00
01E9: Op: 40 => 40, Flags: 00 => 00
01EA: Op: 00 => 00, Flags: 00 => 00
01EB: Op: 47 => 47, Flags: 00 => 00
01EC: Op: 48 => 48, Flags: 00 => 00
01ED: Op: 14 => 14, Flags: 3F => 03
01EE: Op: 1D => 1D, Flags: 00 => 00
01EF: Op: 45 => 45, Flags: 00 => 00
01F0: Op: 45 => 45, Flags: 00 => 00
01F1: Op: 47 => 47, Flags: 00 => 00
01F2: Op: 12 => 12, Flags: 3F => 03
01F3: Op: 47 => 47, Flags: 00 => 00
01F4: Op: 47 => 47, Flags: 00 => 00
01F5: Op: 14 => 14, Flags: 3F => 03
01F6: Op: 08 => 08, Flags: 3D => 01
01F7: Op: 21 => 21, Flags: 00 => 00
01F8: Op: 1D => 1D, Flags: 00 => 00
01F9: Op: 47 => 47, Flags: 00 => 00
01FA: Op: 47 => 47, Flags: 00 => 00
01FB: Op: 47 => 47, Flags: 00 => 00
01FC: Op: 21 => 21, Flags: 00 => 00
01FD: Op: 47 => 47, Flags: 00 => 00
01FE: Op: 01 => 01, Flags: 00 => 00
01FF: Op: 47 => 47, Flags: 00 => 00
0200: Op: 7F => 7F, Flags: 00 => 00
0201: Op: 07 => 07, Flags: 3D => 01
0202: Op: 43 => 43, Flags: 00 => 00
0203: Op: 13 => 13, Flags: 3D => 21
0204: Op: 21 => 21, Flags: 00 => 00
0205: Op: 21 => 21, Flags: 00 => 00
0206: Op: 39 => 39, Flags: 00 => 00
0207: Op: 1D => 1D, Flags: 00 => 00
0208: Op: 47 => 47, Flags: 00 => 00
0209: Op: 47 => 47, Flags: 00 => 00
020A: Op: 38 => 38, Flags: 00 => 00
020B: Op: 44 => 44, Flags: 00 => 00
020C: Op: 15 => 59, Flags: 1E => 00
020D: Op: 1D => 1D, Flags: 00 => 00
020E: Op: 38 => 38, Flags: 00 => 00
020F: Op: 47 => 47, Flags: 00 => 00
0210: Op: 47 => 47, Flags: 00 => 00
0211: Op: 47 => 47, Flags: 00 => 00
0212: Op: 38 => 38, Flags: 00 => 00
0213: Op: 01 => 01, Flags: 00 => 00
0214: Op: 45 => 45, Flags: 00 => 00
0215: Op: 16 => 16, Flags: 1E => 1E
0216: Op: 40 => 40, Flags: 00 => 00
0217: Op: 00 => 00, Flags: 00 => 00
0218: Op: 47 => 47, Flags: 00 => 00
0219: Op: 47 => 47, Flags: 00 => 00
021A: Op: 16 => 5A, Flags: 1E => 00
021B: Op: 14 => 14, Flags: 3F => 03
021C: Op: 47 => 47, Flags: 00 => 00
021D: Op: 46 => 46, Flags: 00 => 00
021E: Op: 47 => 47, Flags: 00 => 00
021F: Op: 47 => 47, Flags: 00 => 00
0220: Op: 47 => 47, Flags: 00 => 00
0221: Op: 47 => 47, Flags: 00 => 00
0222: Op: 15 => 15, Flags: 1E => 02
0223: Op: 07 => 07, Flags: 3D => 01
0224: Op: 21 => 21, Flags: 00 => 00
0225: Op: 39 => 39, Flags: 00 => 00
0226: Op: 48 => 48, Flags: 00 => 00
0227: Op: 47 => 47, Flags: 00 => 00
0228: Op: 47 => 47, Flags: 00 => 00
0229: Op: 09 => 09, Flags: 3F => 01
022A: Op: 47 => 47, Flags: 00 => 00
022B: Op: 7F => 7F, Flags: 00 => 00
